"ID","name","value"
84,"a_5","TELLO A"
74,"a_4","THOMAS CJ"
55,"a_2","TONKIN JD"
231,"a_7","TONKIN Z"
242,"a_2","TORRES P"
127,"a_2","TORRES PF"
137,"a_2","TORRES PF"
203,"a_1","TOWNSEND CR"
191,"a_1","TREJO A"
201,"a_2","TREJO A"
237,"a_2","TROCHINE C"
17,"a_4","TURNER TF"
238,"a_5","UNMACK PJ"
52,"a_1","URBINA MA"
58,"a_1","URBINA MA"
67,"a_1","URBINA MA"
75,"a_1","URBINA MA"
117,"a_3","VALDEBENITO IN"
60,"a_3","VAN DEN HEUVEL MR"
30,"a_5","VANELLA FA"
59,"a_2","VANELLA FA"
74,"a_1","VANHAECKE D"
40,"a_4","VARGAS-CHACOFF L"
41,"a_4","VARGAS-CHACOFF L"
84,"a_2","VEGA-AGUAYO R"
106,"a_2","VEGA R"
237,"a_6","VENTURA M"
2,"a_1","VERA-ESCALONA I"
3,"a_5","VERA-ESCALONA I"
71,"a_6","VERSACE VL"
3,"a_1","VICTORIANO PF"
237,"a_1","VIDAL N"
28,"a_2","VIGLIANO PH"
120,"a_3","VIGLIANO PH"
10,"a_2","VIOZZI G"
184,"a_1","VIOZZI G"
191,"a_3","VIOZZI G"
12,"a_2","VIOZZI GP"
112,"a_1","VIOZZI GP"
135,"a_1","VIOZZI GP"
151,"a_1","VIOZZI GP"
247,"a_1","VIOZZI GP"
12,"a_3","WAICHEIM MA"
81,"a_2","WALDE SJ"
92,"a_4","WALDE SJ"
152,"a_4","WALLIS GP"
179,"a_3","WALLIS GP"
246,"a_2","WALLIS GP"
252,"a_2","WALLIS GP"
24,"a_4","WANG S"
31,"a_2","WARBURTON M"
53,"a_1","WATANABE S"
1,"a_4","WATERS JM"
32,"a_4","WATERS JM"
76,"a_4","WATERS JM"
152,"a_3","WATERS JM"
174,"a_1","WATERS JM"
179,"a_1","WATERS JM"
193,"a_1","WATERS JM"
246,"a_1","WATERS JM"
276,"a_1","WEBB BF"
63,"a_2","WEST D"
138,"a_1","WEST DW"
200,"a_3","WEST DW"
214,"a_2","WEST DW"
251,"a_3","WEST DW"
27,"a_1","WHITE RSA"
45,"a_1","WHITE RSA"
294,"a_2","WHITE RW"
207,"a_2","WHITE RWG"
220,"a_2","WHITE RWG"
235,"a_2","WHITE RWG"
265,"a_2","WHITE RWG"
284,"a_2","WHITE RWG"
285,"a_2","WHITE RWG"
160,"a_1","WHITEHEAD AL"
39,"a_2","WHITTINGTON B"
98,"a_4","WILLIAMS E"
172,"a_3","WILLIAMS E"
227,"a_2","WILLIAMS WD"
267,"a_2","WILLIAMS WD"
292,"a_2","WILLIAMS WD"
133,"a_6","WINTERBOURN MJ"
281,"a_1","WOODS CS"
37,"a_1","WYLIE MJ"
62,"a_1","WYLIE MJ"
231,"a_2","YEN JDL"
152,"a_2","YOUNG KD"
70,"a_2","YOUNG RG"
88,"a_2","YOUNG RG"
8,"a_1","YUNGNICKEL MR"
90,"a_3","ZAGARESE HE"
183,"a_5","ZAGARESE HE"
141,"a_1","ZATTARA EE"
81,"a_1","ZEMLAK TS"
